name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Winster,bsp,NGED,['33'],33,budget,0,0,2,60
Matlock,primary,NGED,"['11', '33']",11,budget,1,2.5,0,0
Holbrook Lane,primary,NGED,"['6.6', '33']",6.6,accepted,1,2.999,0,0
Sandy Lane,primary,NGED,"['6.6', '33']",6.6,accepted,1,1.5,0,0
Hawkesmill Lane,primary,NGED,"['6.6', '33']",6.6,accepted,1,1.164,0,0
Warwick,primary,NGED,['11'],11,accepted,1,2,0,0
Grantham North,primary,NGED,['11'],11,accepted,1,6,1,1.7
Skegness,bsp,NGED,['33'],33,accepted,0,0,1,9.6
Spilsby,primary,NGED,"['11', '33']",11,accepted,1,3,0,0
Woodhall Spa,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Chesterfield,gsp,NGED,['132'],132,accepted,0,0,1,20
Meadow Lane,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Annesley,bsp,NGED,['33'],33,accepted,1,8,0,0
Annesley (Kirkby),primary,NGED,['11'],11,accepted,1,1,0,0
Hucknall,primary,NGED,[],11,accepted,1,4,0,0
Chesterfield,bsp,NGED,['33'],33,accepted,0,0,1,9.029
Sheepbridge,primary,NGED,['6.6'],11,accepted,1,2.2,0,0
Crown Fm,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Rufford,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Goitside,primary,NGED,['6.6'],6.6,accepted,1,1,0,0
Queens Park,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Skegby Lane,primary,NGED,"['11', '33']",11,accepted,1,1.1,0,0
Teversal,primary,NGED,"['11', '33']",11,accepted,1,1.415,0,0
Pinxton,primary,NGED,['11'],11,accepted,1,13.3,0,0
Coventry,gsp,NGED,['132'],132,accepted,1,10,1,50
Coventry North,bsp,NGED,['33'],33,accepted,0,0,1,35
Walsgrave,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Weedon,primary,NGED,"['11', '33']",11,accepted,1,3,0,0
Hinckley,bsp,NGED,['33'],33,accepted,0,0,1,20
Barwell,primary,NGED,"['11', '33']",11,accepted,1,6.758,0,0
Hinckley,primary,NGED,['11'],11,accepted,1,1.5,0,0
Sapcote,primary,NGED,"['11', '33']",11,accepted,1,1.35,0,0
Nuneaton,primary,NGED,['11'],11,accepted,1,1,0,0
Rugby,primary,NGED,['11'],11,accepted,2,2.886,0,0
Rugby,bsp,NGED,['33'],33,accepted,1,5,0,0
Lawford,primary,NGED,"['11', '33']",11,accepted,1,6,0,0
Ryton,primary,NGED,"['11', '33']",11,accepted,1,3,0,0
Drakelow,gsp,NGED,['132'],132,accepted,1,35,1,35
Burton,primary,NGED,['11'],11,accepted,2,3.9,0,0
Hatton,primary,NGED,"['11', '33']",11,accepted,1,3,0,0
Trent Alloys,primary,NGED,"['11', '33']",11,accepted,1,1.25,0,0
Ashby,primary,NGED,"['11', '33']",11,accepted,1,4.4,0,0
East Claydon,gsp,NGED,['132'],132,accepted,3,159.8,3,189.8
Fox Milne,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Kingston,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Secklow Gate,primary,NGED,"['11', '33']",11,accepted,2,3.6,0,0
Tattenhoe,primary,NGED,[],11,accepted,1,1.192,0,0
Towcester,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Stony Stratford,bsp,NGED,['33'],33,accepted,0,0,1,21.875
Kiln Farm,primary,NGED,"['11', '33']",11,accepted,1,5,0,0
Enderby,gsp,NGED,['132'],132,accepted,1,49.9,2,99.8
Coalville,bsp,NGED,['33'],33,accepted,1,10.4,0,0
Desford,primary,NGED,"['11', '33']",11,accepted,1,8.262,0,0
Interlink Park,primary,NGED,"['11', '33']",11,accepted,1,4,0,0
Osbaston,primary,NGED,"['11', '33']",11,accepted,1,1.9,0,0
Groby Road,primary,NGED,"['11', '33']",11,accepted,1,5,0,0
Wigston Magna,primary,NGED,"['11', '33']",11,accepted,1,1.407,1,1.0595
Grendon,gsp,NGED,['132'],132,accepted,5,409.8,4,259.8
Corby Central,primary,NGED,"['11', '33']",11,accepted,1,10,0,0
Earlstrees,primary,NGED,"['11', '33']",11,accepted,2,2.5,0,0
Hazelwood,primary,NGED,"['11', '33']",11,accepted,3,4.95,0,0
Irthlingborough,bsp,NGED,['33'],33,accepted,1,17.5,1,35
Pytchley Road,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Kettering,bsp,NGED,['33'],33,accepted,1,1.5,1,10
Field Street,primary,NGED,"['11', '33']",11,accepted,1,1.25,0,0
Kettering North,primary,NGED,"['11', '33']",11,accepted,1,8,0,0
Farndon Road,primary,NGED,"['11', '33']",11,accepted,1,1.734,0,0
Kibworth,primary,NGED,['11'],11,accepted,2,2.25,0,0
Holwell,primary,NGED,"['11', '33']",11,accepted,1,1.554,0,0
Melton Mowbray,primary,NGED,['11'],11,accepted,1,2.25,0,0
Northampton,bsp,NGED,['33'],33,accepted,1,40,0,0
Campbell Street,primary,NGED,"['11', '33']",11,accepted,1,1.1,0,0
Wootton,primary,NGED,"['11', '33']",11,accepted,1,1.14,0,0
Northampton East,bsp,NGED,['33'],33,accepted,1,10,1,34
Banbury Lane,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Ellesmere Avenue,primary,NGED,"['11', '33']",11,accepted,3,8.65,0,0
Oakham,bsp,NGED,['33'],33,accepted,1,40,1,40
Empingham,primary,NGED,"['11', '33']",11,accepted,1,9,0,0
Market Overton,primary,NGED,"['11', '33']",11,accepted,1,1.2,0,0
Wellingborough / (Reserve),primary,NGED,"['11', '132']",11,accepted,1,1.287,0,0
Cannon Street,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Park Farm,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Sharnbrook,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Lea Marston,gsp,NGED,['132'],132,accepted,0,0,1,44
Tamworth,bsp,NGED,['33'],33,accepted,1,1,1,18.5
Tamworth Grid,primary,NGED,['11'],11,accepted,1,5.15,0,0
Wood End,primary,NGED,"['11', '33']",11,accepted,1,3,0,0
Tamworth Town,bsp,NGED,['33'],33,accepted,1,20,0,0
Ratcliffe On Soar,gsp,NGED,['132'],132,accepted,1,150,2,199.9
Loughborough,primary,NGED,['11'],11,accepted,1,2,0,0
Loughborough,bsp,NGED,['33'],33,accepted,1,10,0,0
North Wilford,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Sneinton,primary,NGED,"['11', '33']",11,accepted,2,8,0,0
West Bridgford,primary,NGED,"['11', '33']",11,accepted,1,2.25,0,0
East Leake,primary,NGED,"['11', '33']",11,accepted,1,1.183,0,0
Mountsorrel,primary,NGED,"['11', '33']",11,accepted,1,9,0,0
Syston,primary,NGED,"['11', '33']",11,accepted,2,7.7,0,0
Staythorpe C,gsp,NGED,['132'],132,accepted,1,100,0,0
Bevercotes,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Hallcroft Road,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Carlton On Trent,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Fernwood,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Southwell,primary,NGED,"['11', '33']",11,accepted,1,2.331,0,0
Westborough,primary,NGED,"['11', '33']",11,accepted,1,3.699,0,0
Bulwell,primary,NGED,"['11', '33']",11,accepted,1,4.1,0,0
Donnington,primary,NGED,"['11', '33']",11,accepted,1,1.8,0,0
Marsh Lane,primary,NGED,"['11', '33']",11,accepted,1,1.5,0,0
Mount Bridge Boston,primary,NGED,"['11', '33']",11,accepted,1,3.6,0,0
Stickney,primary,NGED,"['11', '33']",11,accepted,1,2.3,0,0
Wrangle,primary,NGED,"['11', '33']",11,accepted,1,2.8,0,0
Holbeach,primary,NGED,"['11', '33']",11,accepted,1,1.79,0,0
Spalding Clay Lake,primary,NGED,['11'],11,accepted,1,6,0,0
Spalding Park Road,primary,NGED,"['11', '33']",11,accepted,1,2.1,0,0
Tinwell Road Ketton,primary,NGED,"['11', '33']",11,accepted,1,2.099,0,0
West Burton,gsp,NGED,['132'],132,accepted,2,149.8,4,252.753
Lincoln No 2,primary,NGED,['11'],11,accepted,1,7.5,0,0
Doddington Park,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Manton,primary,NGED,"['11', '33']",11,accepted,1,2.5,0,0
Mackworth,primary,NGED,"['11', '33']",11,accepted,1,1.721,0,0
Derby South,bsp,NGED,['33'],33,accepted,1,25,0,0
Denby,primary,NGED,"['11', '33']",11,accepted,1,1,0,0
Moorgreen,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Spondon B,bsp,NGED,['33'],33,accepted,0,0,1,20
Bakewell,primary,NGED,"['11', '33']",11,accepted,1,2,0,0
Courthouse Green,primary,NGED,"['11', '33']",11,pending,1,1.7,0,0
Courthouse Green,primary,NGED,"['6.6', '33']",6.6,pending,1,1,0,0
Coventry West,primary,NGED,['6.6'],6.6,pending,1,2.56,0,0
Hawkesmill Lane,primary,NGED,"['6.6', '33']",6.6,pending,1,1.164,0,0
Harbury,bsp,NGED,['33'],33,pending,1,20.16,1,20.16
Gaydon,primary,NGED,"['11', '33']",11,pending,1,8.774,0,0
Harbury,primary,NGED,['11'],11,pending,1,1.1,0,0
Southam,primary,NGED,"['11', '33']",11,pending,1,3.73,0,0
Warwick,primary,NGED,['11'],11,pending,1,2.4,0,0
Banbury Road,primary,NGED,"['11', '33']",11,pending,1,1.4,0,0
Kenilworth,primary,NGED,"['11', '33']",11,pending,1,1.755,0,0
Wise Street,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Bicker Fen,gsp,NGED,['132'],132,pending,2,149.8,2,149.8
New Beacon Road Grantham,primary,NGED,"['11', '33']",11,pending,1,4,0,0
Ingoldmells,primary,NGED,"['11', '33']",11,pending,1,1.3,0,0
Ruskington,primary,NGED,"['11', '33']",11,pending,2,5,0,0
Tattershall,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Alfreton,bsp,NGED,['33'],33,pending,0,0,1,14.78
Meadow Lane,primary,NGED,"['11', '33']",11,pending,1,10,0,0
Annesley,bsp,NGED,['33'],33,pending,1,30,1,22.5
Annesley (Kirkby),primary,NGED,['11'],11,pending,3,4.1,1,4.26
Calverton,primary,NGED,"['11', '33']",11,pending,1,1.5,2,5.1
Hucknall,primary,NGED,[],11,pending,1,4,0,0
Sherwood Park,primary,NGED,"['11', '33']",11,pending,3,9.817,0,0
Sutton Junction,primary,NGED,"['11', '33']",11,pending,1,4.4,0,0
Chesterfield,bsp,NGED,['33'],33,pending,0,0,1,21.12
Clipstone,bsp,NGED,['33'],33,pending,1,20,0,0
Sheffield Road,primary,NGED,"['6.6', '11', '33']",6.6,pending,1,1.5,0,0
